cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
2,7f585b4710c0,0,83,6403,0,0,0,0,0,0,0,0,0
2,7f585b5510c6,7f585b5510e0,3209,3179,0,0,0,0,14,1259,0,0,2518
2,7f585b4710c6,7f585b471098,2,10322,0,0,0,0,0,1271,0,0,2542
2,7f585b5590c5,7f585b55d716,2185,3789,0,0,0,0,0,1,0,0,2
2,7f585b5590ba,0,2395,3579,0,0,0,0,0,0,0,0,0
2,7f585b5790b8,7f585b578ea0,0,30,0,0,0,0,0,1,0,0,2
2,7f585b5594be,7f585b55b0ff,84,1752,0,2,0,0,0,1,0,0,6
2,7f585b5510b0,7f585b5510e0,299,10227,2,7,0,0,0,1,0,0,16
2,7f585b5590f7,0,2490,3484,0,0,0,0,0,0,0,0,0
2,7f585b5510b6,7f585b551733,118,6270,0,0,0,0,0,1,0,0,2
1,7f585b5510f5,7f585b550ed8,599,9927,0,0,0,0,0,1,0,0,2
2,7f585b5594b5,0,77,1759,0,0,0,0,0,0,0,0,0
2,7f585b5590ae,0,2212,3762,0,0,0,0,0,0,0,0,0
3,7f585b5510ed,7f585b550520,1655,8871,0,0,0,0,0,1,0,0,2
3,7f585b5790ad,7f585b5586b0,28,2,0,0,0,0,4,1,0,0,2
2,7f585b5510a3,0,149,10377,0,0,0,0,0,0,0,0,0
2,7f585b5590a2,0,2212,3762,0,0,0,0,0,0,0,0,0
2,7f585b4710e5,0,0,3838,0,0,0,0,0,0,0,0,0
2,7f585b5594a5,0,77,1759,0,0,0,0,0,0,0,0,0
2,7f585b55911e,7f585b559132,163,1295,1,3,0,0,0,1,0,0,8
2,7f585b559113,7f585b559132,973,4389,1,17,0,0,0,1,0,0,36
3,7f585b559157,7f585b56d180,49,4966,0,0,0,0,0,77,0,0,154
3,7f585b55910c,7f585babb370,2809,2553,0,0,0,0,0,1,0,0,2
2,7f585b559103,7f585b55e723,1745,4229,3,3,0,0,0,1,0,0,8
2,7f585b559141,7f585b5605c3,379,4311,0,19,0,0,0,1,0,0,40
3,7f585b471107,7f585b35bb20,1231,2607,0,0,0,0,0,1,0,0,2
2,7f585b55917a,7f585b560fcd,1410,3605,0,0,0,0,0,1,0,0,2
3,7f585b55957a,7f585babb370,1309,1205,0,0,0,0,0,1,0,0,2
2,7f585b559138,7f585b55e856,1016,4346,0,1,0,0,0,1,0,0,4
7,7f585b55093f,7f585b4cf999,148,960,0,0,0,0,0,0,0,0,0
2,7f585b559571,0,10,2504,0,0,0,0,0,0,0,0,0
2,7f585b55916e,7f585b5617b2,570,4445,0,0,0,0,0,1,0,0,2
2,7f585b55912c,0,172,955,0,0,0,0,0,0,0,0,0
2,7f585b55992c,7f585b559990,0,18,0,0,0,0,0,1,0,0,2
2,7f585b559162,0,565,4450,0,0,0,0,0,1,0,0,2
2,7f585b559566,0,10,2504,0,0,0,0,0,1,0,0,2
2,7f585b471126,0,1,3837,0,0,0,0,0,0,0,0,0
3,7f585b55919a,7f585babb370,3121,1895,0,0,0,0,0,1,0,0,2
3,7f585b5599d8,7f585b5739e0,75,1839,0,0,0,0,0,1,0,0,2
2,7f585b5595df,7f585b559660,1,3490,0,168,0,0,0,1,0,0,338
2,7f585b5591de,0,2,323,0,0,0,0,0,0,0,0,0
2,7f585b55959d,0,0,2514,0,0,0,0,0,0,0,0,0
2,7f585b55999c,0,95,1819,0,0,0,0,0,0,0,0,0
2,7f585b5591d3,7f585b5591e4,715,4301,0,2,0,0,0,1,0,0,6
2,7f585b559191,0,496,4520,0,0,0,0,0,0,0,0,0
2,7f585b559591,0,0,2514,0,0,0,0,0,0,0,0,0
2,7f585b5595d0,0,1,3490,0,0,0,0,0,0,0,0,0
3,7f585b55958a,7f585babb370,1310,1204,0,0,0,0,0,1,0,0,2
7,7f585b470dc9,7f585b4643ff,1275,4855,0,0,0,0,0,0,0,0,0
2,7f585b559581,0,0,2514,0,0,0,0,0,0,0,0,0
2,7f585b5591c7,0,2,323,0,0,0,0,0,0,0,0,0
2,7f585b5595bb,7f585b55dbcd,0,1839,0,34,0,0,0,1,0,0,70
2,7f585b5599b8,0,95,1819,0,0,0,0,0,0,0,0,0
2,7f585b5591fd,0,825,4191,0,0,0,0,0,0,0,0,0
2,7f585b5591bc,7f585b5591cd,713,4303,0,5,0,0,0,81,0,0,172
2,7f585b5595b4,7f585b5595c8,0,2514,0,235,0,0,0,1,0,0,472
2,7f585b5595f4,7f585b559660,0,104,0,3,0,0,0,1,0,0,8
2,7f585b5599a9,0,95,1819,0,0,0,0,0,0,0,0,0
2,7f585b5595e8,7f585b559660,0,1315,0,24,0,0,0,1,0,0,50
2,7f585b5595a8,0,0,2514,0,0,0,0,0,0,0,0,0
2,7f585b5591ee,7f585b56248c,630,4386,1,1,0,0,0,1,0,0,4
2,7f585b5591ad,0,236,875,0,0,0,0,0,0,0,0,0
2,7f585b5591a1,7f585b5605fe,848,4168,0,2,0,0,0,16,0,0,36
3,7f585b5591e7,7f585babb370,3456,1560,0,0,0,0,0,1,0,0,2
2,7f585b559a1b,7f585b55af93,246,1668,0,0,0,0,0,1,0,0,2
3,7f585b559a5b,7f585b553930,66,542,0,0,0,0,0,1,0,0,2
2,7f585b55961c,0,0,90,0,0,0,0,0,2,0,0,4
2,7f585b559a53,7f585b559a59,14,594,0,0,0,0,0,1,0,0,2
2,7f585b559212,7f585b558d30,0,325,0,0,0,0,0,1,0,0,2
2,7f585b559656,7f585b563556,0,79,0,0,0,0,0,1,0,0,2
3,7f585b55964a,7f585b553930,37,42,0,0,0,0,1,0,0,0,0
3,7f585b559a08,7f585b5739e0,512,1402,0,0,0,0,0,1,0,0,2
7,7f585b550e4f,7f585b553380,356,296,0,0,0,0,0,0,0,0,0
2,7f585b559207,7f585b5592b1,1522,3494,1,5,0,0,0,1,0,0,12
2,7f585b559a44,7f585b559a4b,14,594,0,0,0,0,0,50,0,0,100
2,7f585b559a39,7f585b559a70,294,1602,0,1,0,0,0,6,0,0,14
2,7f585b559639,7f585b55963b,0,90,0,0,0,0,0,8,0,0,16
4,7f585b570e79,7f585b571328,0,18,0,0,0,0,0,1,0,0,2
7,7f585b470e72,7f585b463a80,2,127,0,0,0,0,0,0,0,0,0
7,7f585b578a77,7f585b3a6db4,574,19530,0,0,73,537,0,0,0,0,1074
2,7f585b559a34,0,204,1692,0,0,0,0,0,0,0,0,0
2,7f585b55962e,0,0,90,0,0,0,0,0,1,0,0,2
3,7f585b559622,7f585b553930,48,42,0,0,0,0,0,0,0,0,0
2,7f585b559a62,7f585b55c1d6,14,594,0,0,0,0,0,1,0,0,2
2,7f585b559adf,7f585b55c1d6,179,1127,0,1,0,0,0,1,0,0,4
7,7f585b558ad3,7f585b5673ae,2445,14304,0,0,690,3800,0,1,0,0,7602
3,7f585b55968d,7f585b572ae0,202,3271,0,0,0,0,0,1,0,0,2
1,7f585b55128c,7f585b55106f,1,17,0,0,0,0,0,1,0,0,2
3,7f585b5596f8,7f585b553930,2091,1382,0,0,0,0,0,1,0,0,2
2,7f585b5596ff,7f585b55afc4,563,2910,1,6,0,0,0,1,0,0,14
7,7f585b470abe,7f585b470d90,0,105,0,0,0,0,0,0,0,0,0
2,7f585b5596bc,7f585b5596de,220,3253,2,76,0,0,0,1,0,0,154
2,7f585b5592b7,7f585b559392,1168,3523,0,0,0,0,0,1,0,0,2
7,7f585b5706b4,7f585b559750,0,312,0,0,0,294,0,0,0,0,588
2,7f585b5596ea,0,235,3238,0,0,0,0,0,0,0,0,0
3,7f585b5596af,7f585b572ae0,222,3251,0,0,0,0,0,1,0,0,2
2,7f585b5596e1,0,235,3238,0,0,0,0,0,0,0,0,0
2,7f585b559756,7f585b55afc4,4,290,0,1,0,0,0,1,0,0,4
3,7f585b55974b,7f585b570550,0,294,0,0,0,0,0,1,0,0,2
2,7f585b47134d,0,243,10836,0,0,0,0,0,0,0,0,0
7,7f585b550f03,7f585b569943,7916,15376,0,0,0,0,0,0,0,0,0
1,7f585b551740,7f585b5510bc,2037,4351,0,0,0,0,0,1,0,0,2
7,7f5863c7877d,7f585babf98d,1560,2104,0,0,0,0,0,0,0,0,0
2,7f585b55173a,0,118,6270,0,0,0,0,0,0,0,0,0
3,7f585b55977a,7f585b56feb0,0,18,0,0,0,0,0,1,0,0,2
2,7f585b57133d,7f585b570f82,0,18,0,0,0,0,0,1,0,0,2
7,7f585b570371,7f585b55b9ea,0,588,0,0,0,588,0,0,0,0,1176
2,7f585b471375,7f585b47112c,7,11072,0,1,0,0,0,1,0,0,4
3,7f585b47136e,7f585b35bb20,857,10222,0,0,0,0,0,1,0,0,2
3,7f585b57132e,7f585b550770,0,18,0,0,0,0,0,3,0,0,6
7,7f585b550366,7f585baba9b2,40,286,0,0,0,0,0,0,0,0,0
2,7f585b55939b,0,1168,3523,0,0,0,0,0,0,0,0,0
2,7f585b55979b,0,0,18,0,0,0,0,0,0,0,0,0
7,7f585b5507dd,7f585b571333,0,18,0,0,0,0,0,0,0,0,0
