ON_CRITICAL_PATH_pct,         -nan
ON_CRITICAL_PATH_total_count,             0
ON_CRITICAL_PATH_total_pct,         -nan
ON_CRITICAL_PATH_sum_count,             0
ON_CRITICAL_PATH_sum_pct,         -nan
ON_CRITICAL_PATH_sum_total_count,             0
ON_CRITICAL_PATH_sum_total_pct,         -nan
ON_CRITICAL_PATH_mean,         -nan
ON_CRITICAL_PATH_stddev,         -nan
ON_CRITICAL_PATH_total_mean,         -nan
ON_CRITICAL_PATH_total_stddev,         -nan

LD_NO_DEPENDENTS_count,             0
LD_NO_DEPENDENTS_pct,        0.000
LD_NO_DEPENDENTS_total_count,             0
LD_NO_DEPENDENTS_total_pct,        0.000

LD_DEPENDENTS_count,      25133691
LD_DEPENDENTS_pct,      100.000
LD_DEPENDENTS_total_count,      25133691
LD_DEPENDENTS_total_pct,      100.000
LD_DEPENDENTS_sum_count,      25133691
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,      25133691
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         1.00
LD_DEPENDENTS_stddev,         1.00
LD_DEPENDENTS_total_mean,         1.00
LD_DEPENDENTS_total_stddev,         1.00

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,        0.000
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,        0.000

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,        0.000
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,        0.000

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,        0.000
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,        0.000

LD_EXEC_CYCLES_3_count,          2589
LD_EXEC_CYCLES_3_pct,       29.031
LD_EXEC_CYCLES_3_total_count,          2589
LD_EXEC_CYCLES_3_total_pct,       29.031

LD_EXEC_CYCLES_4_count,          6329
LD_EXEC_CYCLES_4_pct,       70.969
LD_EXEC_CYCLES_4_total_count,          6329
LD_EXEC_CYCLES_4_total_pct,       70.969
LD_EXEC_CYCLES_4_sum_count,          8918
LD_EXEC_CYCLES_4_sum_pct,      100.000
LD_EXEC_CYCLES_4_sum_total_count,          8918
LD_EXEC_CYCLES_4_sum_total_pct,      100.000
LD_EXEC_CYCLES_4_mean,         3.71
LD_EXEC_CYCLES_4_stddev,         3.16
LD_EXEC_CYCLES_4_total_mean,         3.71
LD_EXEC_CYCLES_4_total_stddev,         3.16

ICACHE_STAGE_STARVED_count,           876
ICACHE_STAGE_STARVED_pct,        0.003
ICACHE_STAGE_STARVED_total_count,           876
ICACHE_STAGE_STARVED_total_pct,        0.003

ICACHE_STAGE_NOT_STARVED_count,      25668541
ICACHE_STAGE_NOT_STARVED_pct,       99.997
ICACHE_STAGE_NOT_STARVED_total_count,      25668541
ICACHE_STAGE_NOT_STARVED_total_pct,       99.997
ICACHE_STAGE_NOT_STARVED_sum_count,      25669417
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,      25669417
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,     129580501
ICACHE_STAGE_STALLED_pct,       83.466
ICACHE_STAGE_STALLED_total_count,     129580501
ICACHE_STAGE_STALLED_total_pct,       83.466

ICACHE_STAGE_NOT_STALLED_count,      25668980
ICACHE_STAGE_NOT_STALLED_pct,       16.534
ICACHE_STAGE_NOT_STALLED_total_count,      25668980
ICACHE_STAGE_NOT_STALLED_total_pct,       16.534

ICACHE_STAGE_OFF_PATH_count,           713
ICACHE_STAGE_OFF_PATH_pct,        0.000
ICACHE_STAGE_OFF_PATH_total_count,           713
ICACHE_STAGE_OFF_PATH_total_pct,        0.000
ICACHE_STAGE_OFF_PATH_sum_count,     155250194
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,     155250194
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         0.17
ICACHE_STAGE_OFF_PATH_stddev,         0.34
