Core, 0
Cumulative Cycles, 32107906            
Cumulative Instructions, 100000000           
Cumulative IPC, 3.11450
Periodic Cycles, 32107906            
Periodic Instructions, 100000000           
Periodic IPC, 3.11450

ST_OP_INV_count,             0
ST_OP_INV_pct,        0.000
ST_OP_INV_total_count,             0
ST_OP_INV_total_pct,        0.000

ST_OP_NOP_count,       5578089
ST_OP_NOP_pct,        3.462
ST_OP_NOP_total_count,       5578089
ST_OP_NOP_total_pct,        3.462

ST_OP_CF_count,      26752467
ST_OP_CF_pct,       16.606
ST_OP_CF_total_count,      26752467
ST_OP_CF_total_pct,       16.606

ST_OP_MOV_count,      13071364
ST_OP_MOV_pct,        8.114
ST_OP_MOV_total_count,      13071364
ST_OP_MOV_total_pct,        8.114

ST_OP_CMOV_count,        734081
ST_OP_CMOV_pct,        0.456
ST_OP_CMOV_total_count,        734081
ST_OP_CMOV_total_pct,        0.456

ST_OP_LDA_count,       4293832
ST_OP_LDA_pct,        2.665
ST_OP_LDA_total_count,       4293832
ST_OP_LDA_total_pct,        2.665

ST_OP_ILD_count,      34735746
ST_OP_ILD_pct,       21.561
ST_OP_ILD_total_count,      34735746
ST_OP_ILD_total_pct,       21.561

ST_OP_IST_count,      17565226
ST_OP_IST_pct,       10.903
ST_OP_IST_total_count,      17565226
ST_OP_IST_total_pct,       10.903

ST_OP_IADD_count,      30678377
ST_OP_IADD_pct,       19.043
ST_OP_IADD_total_count,      30678377
ST_OP_IADD_total_pct,       19.043

ST_OP_IMUL_count,             0
ST_OP_IMUL_pct,        0.000
ST_OP_IMUL_total_count,             0
ST_OP_IMUL_total_pct,        0.000

ST_OP_IDIV_count,             0
ST_OP_IDIV_pct,        0.000
ST_OP_IDIV_total_count,             0
ST_OP_IDIV_total_pct,        0.000

ST_OP_ICMP_count,       8891466
ST_OP_ICMP_pct,        5.519
ST_OP_ICMP_total_count,       8891466
ST_OP_ICMP_total_pct,        5.519

ST_OP_LOGIC_count,      11664521
ST_OP_LOGIC_pct,        7.240
ST_OP_LOGIC_total_count,      11664521
ST_OP_LOGIC_total_pct,        7.240

ST_OP_SHIFT_count,       2449839
ST_OP_SHIFT_pct,        1.521
ST_OP_SHIFT_total_count,       2449839
ST_OP_SHIFT_total_pct,        1.521

ST_OP_FLD_count,       2080415
ST_OP_FLD_pct,        1.291
ST_OP_FLD_total_count,       2080415
ST_OP_FLD_total_pct,        1.291

ST_OP_FST_count,       2430428
ST_OP_FST_pct,        1.509
ST_OP_FST_total_count,       2430428
ST_OP_FST_total_pct,        1.509

ST_OP_FCVT_count,             0
ST_OP_FCVT_pct,        0.000
ST_OP_FCVT_total_count,             0
ST_OP_FCVT_total_pct,        0.000

ST_OP_FADD_count,             0
ST_OP_FADD_pct,        0.000
ST_OP_FADD_total_count,             0
ST_OP_FADD_total_pct,        0.000

ST_OP_FMUL_count,             0
ST_OP_FMUL_pct,        0.000
ST_OP_FMUL_total_count,             0
ST_OP_FMUL_total_pct,        0.000

ST_OP_FMA_count,             0
ST_OP_FMA_pct,        0.000
ST_OP_FMA_total_count,             0
ST_OP_FMA_total_pct,        0.000

ST_OP_FDIV_count,             0
ST_OP_FDIV_pct,        0.000
ST_OP_FDIV_total_count,             0
ST_OP_FDIV_total_pct,        0.000

ST_OP_FCMP_count,             0
ST_OP_FCMP_pct,        0.000
ST_OP_FCMP_total_count,             0
ST_OP_FCMP_total_pct,        0.000

ST_OP_FCMOV_count,             0
ST_OP_FCMOV_pct,        0.000
ST_OP_FCMOV_total_count,             0
ST_OP_FCMOV_total_pct,        0.000

ST_OP_GATHER_count,             0
ST_OP_GATHER_pct,        0.000
ST_OP_GATHER_total_count,             0
ST_OP_GATHER_total_pct,        0.000

ST_OP_SCATTER_count,             0
ST_OP_SCATTER_pct,        0.000
ST_OP_SCATTER_total_count,             0
ST_OP_SCATTER_total_pct,        0.000

ST_OP_PIPELINED_FAST_count,        177474
ST_OP_PIPELINED_FAST_pct,        0.110
ST_OP_PIPELINED_FAST_total_count,        177474
ST_OP_PIPELINED_FAST_total_pct,        0.110

ST_OP_PIPELINED_MEDIUM_count,             0
ST_OP_PIPELINED_MEDIUM_pct,        0.000
ST_OP_PIPELINED_MEDIUM_total_count,             0
ST_OP_PIPELINED_MEDIUM_total_pct,        0.000

ST_OP_PIPELINED_SLOW_count,             0
ST_OP_PIPELINED_SLOW_pct,        0.000
ST_OP_PIPELINED_SLOW_total_count,             0
ST_OP_PIPELINED_SLOW_total_pct,        0.000

ST_OP_NOTPIPELINED_MEDIUM_count,             0
ST_OP_NOTPIPELINED_MEDIUM_pct,        0.000
ST_OP_NOTPIPELINED_MEDIUM_total_count,             0
ST_OP_NOTPIPELINED_MEDIUM_total_pct,        0.000

ST_OP_NOTPIPELINED_SLOW_count,             0
ST_OP_NOTPIPELINED_SLOW_pct,        0.000
ST_OP_NOTPIPELINED_SLOW_total_count,             0
ST_OP_NOTPIPELINED_SLOW_total_pct,        0.000

ST_OP_NOTPIPELINED_VERY_SLOW_count,             0
ST_OP_NOTPIPELINED_VERY_SLOW_pct,        0.000
ST_OP_NOTPIPELINED_VERY_SLOW_total_count,             0
ST_OP_NOTPIPELINED_VERY_SLOW_total_pct,        0.000
ST_OP_NOTPIPELINED_VERY_SLOW_sum_count,     161103325
ST_OP_NOTPIPELINED_VERY_SLOW_sum_pct,      100.000
ST_OP_NOTPIPELINED_VERY_SLOW_sum_total_count,     161103325
ST_OP_NOTPIPELINED_VERY_SLOW_sum_total_pct,      100.000
ST_OP_NOTPIPELINED_VERY_SLOW_mean,         6.45
ST_OP_NOTPIPELINED_VERY_SLOW_stddev,         3.48
ST_OP_NOTPIPELINED_VERY_SLOW_total_mean,         6.45
