Core, 0
LD_DEPENDENTS_total_pct,       95.039
LD_DEPENDENTS_sum_count,      29707267
LD_DEPENDENTS_sum_pct,      100.000
LD_DEPENDENTS_sum_total_count,      29707267
LD_DEPENDENTS_sum_total_pct,      100.000
LD_DEPENDENTS_mean,         0.95
LD_DEPENDENTS_stddev,         0.93
LD_DEPENDENTS_total_mean,         0.95
LD_DEPENDENTS_total_stddev,         0.93

LD_EXEC_CYCLES_0_count,             0
LD_EXEC_CYCLES_0_pct,         -nan
LD_EXEC_CYCLES_0_total_count,             0
LD_EXEC_CYCLES_0_total_pct,         -nan

LD_EXEC_CYCLES_1_count,             0
LD_EXEC_CYCLES_1_pct,         -nan
LD_EXEC_CYCLES_1_total_count,             0
LD_EXEC_CYCLES_1_total_pct,         -nan

LD_EXEC_CYCLES_2_count,             0
LD_EXEC_CYCLES_2_pct,         -nan
LD_EXEC_CYCLES_2_total_count,             0
LD_EXEC_CYCLES_2_total_pct,         -nan

LD_EXEC_CYCLES_3_count,             0
LD_EXEC_CYCLES_3_pct,         -nan
LD_EXEC_CYCLES_3_total_count,             0
LD_EXEC_CYCLES_3_total_pct,         -nan

LD_EXEC_CYCLES_4_count,             0
LD_EXEC_CYCLES_4_pct,         -nan
LD_EXEC_CYCLES_4_total_count,             0
LD_EXEC_CYCLES_4_total_pct,         -nan
LD_EXEC_CYCLES_4_sum_count,             0
LD_EXEC_CYCLES_4_sum_pct,         -nan
LD_EXEC_CYCLES_4_sum_total_count,             0
LD_EXEC_CYCLES_4_sum_total_pct,         -nan
LD_EXEC_CYCLES_4_mean,         -nan
LD_EXEC_CYCLES_4_stddev,         -nan
LD_EXEC_CYCLES_4_total_mean,         -nan
LD_EXEC_CYCLES_4_total_stddev,         -nan

ICACHE_STAGE_STARVED_count,          9082
ICACHE_STAGE_STARVED_pct,        0.032
ICACHE_STAGE_STARVED_total_count,          9082
ICACHE_STAGE_STARVED_total_pct,        0.032

ICACHE_STAGE_NOT_STARVED_count,      27950115
ICACHE_STAGE_NOT_STARVED_pct,       99.968
ICACHE_STAGE_NOT_STARVED_total_count,      27950115
ICACHE_STAGE_NOT_STARVED_total_pct,       99.968
ICACHE_STAGE_NOT_STARVED_sum_count,      27959197
ICACHE_STAGE_NOT_STARVED_sum_pct,      100.000
ICACHE_STAGE_NOT_STARVED_sum_total_count,      27959197
ICACHE_STAGE_NOT_STARVED_sum_total_pct,      100.000
ICACHE_STAGE_NOT_STARVED_mean,         1.00
ICACHE_STAGE_NOT_STARVED_stddev,         1.00
ICACHE_STAGE_NOT_STARVED_total_mean,         1.00
ICACHE_STAGE_NOT_STARVED_total_stddev,         1.00

ICACHE_STAGE_STALLED_count,         12053
ICACHE_STAGE_STALLED_pct,        0.038
ICACHE_STAGE_STALLED_total_count,         12053
ICACHE_STAGE_STALLED_total_pct,        0.038

ICACHE_STAGE_NOT_STALLED_count,      27954666
ICACHE_STAGE_NOT_STALLED_pct,       87.065
ICACHE_STAGE_NOT_STALLED_total_count,      27954666
ICACHE_STAGE_NOT_STALLED_total_pct,       87.065

ICACHE_STAGE_OFF_PATH_count,       4141187
ICACHE_STAGE_OFF_PATH_pct,       12.898
ICACHE_STAGE_OFF_PATH_total_count,       4141187
ICACHE_STAGE_OFF_PATH_total_pct,       12.898
ICACHE_STAGE_OFF_PATH_sum_count,      32107906
ICACHE_STAGE_OFF_PATH_sum_pct,      100.000
ICACHE_STAGE_OFF_PATH_sum_total_count,      32107906
ICACHE_STAGE_OFF_PATH_sum_total_pct,      100.000
ICACHE_STAGE_OFF_PATH_mean,         1.13
ICACHE_STAGE_OFF_PATH_stddev,         0.53
ICACHE_STAGE_OFF_PATH_total_mean,         1.13
ICACHE_STAGE_OFF_PATH_total_stddev,         0.53

DECODE_STAGE_STARVED_count,      26544148
DECODE_STAGE_STARVED_pct,       90.033
DECODE_STAGE_STARVED_total_count,      26544148
DECODE_STAGE_STARVED_total_pct,       90.033

DECODE_STAGE_NOT_STARVED_count,       2938386
DECODE_STAGE_NOT_STARVED_pct,        9.967
DECODE_STAGE_NOT_STARVED_total_count,       2938386
DECODE_STAGE_NOT_STARVED_total_pct,        9.967
DECODE_STAGE_NOT_STARVED_sum_count,      29482534
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,      29482534
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.10
DECODE_STAGE_NOT_STARVED_stddev,         0.29
DECODE_STAGE_NOT_STARVED_total_mean,         0.10
DECODE_STAGE_NOT_STARVED_total_stddev,         0.29

DECODE_STAGE_STALLED_count,          6648
DECODE_STAGE_STALLED_pct,        0.021
DECODE_STAGE_STALLED_total_count,          6648
DECODE_STAGE_STALLED_total_pct,        0.021

DECODE_STAGE_NOT_STALLED_count,      29475886
DECODE_STAGE_NOT_STALLED_pct,       91.803
DECODE_STAGE_NOT_STALLED_total_count,      29475886
DECODE_STAGE_NOT_STALLED_total_pct,       91.803

DECODE_STAGE_OFF_PATH_count,       2625372
DECODE_STAGE_OFF_PATH_pct,        8.177
DECODE_STAGE_OFF_PATH_total_count,       2625372
DECODE_STAGE_OFF_PATH_total_pct,        8.177
DECODE_STAGE_OFF_PATH_sum_count,      32107906
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,      32107906
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         1.08
DECODE_STAGE_OFF_PATH_stddev,         0.41
DECODE_STAGE_OFF_PATH_total_mean,         1.08
